Altium Designer Pick and Place Locations,,,,,,
,,,,,,
========================================================================================================================,,,,,,
File Design Information:,,,,,,
,,,,,,
Units used: mm,,,,,,
,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation
Designator10,Comment,TopLayer,01x01-smd-pad-2.5mmx2mm,20.9,3.6,0
C16,470uF/25V,TopLayer,01x01-smd-pad-2.5mmx2mm,2.3,22.3329,270
Designator7,Comment,TopLayer,01x01-smd-pad-2.5mmx2mm,13.9,28.8,90
Designator4,Comment,TopLayer,smd-pad-1-6mmx4mm,38.8,5.5,0
Designator3,Comment,TopLayer,smd-pad-1-6mmx4mm,39.0294,15,0
Designator2,Comment,TopLayer,smd-pad-1-6mmx4mm,38.9,24.8,0
P2,CONTROL,TopLayer,Pad-smd-01x03-2.54mm-pitch,4.6,17.04,90
P1,ISP,TopLayer,01x06-smd-pads-1mm-pitch,8.5,9.9,180
XT1,16Mhz,TopLayer,3225_4P_67_157_55x47_SMD,15.8417,25.0375,180
U1,ATMEGA8L-8AUR,TopLayer,TQFP-32,15.836,15.8134,270
RT1,10K_NTC,TopLayer,RES_0805,18.3999,5.4001,90
R31,10K,TopLayer,RES_0603,26.239,3.7184,270
R30,10K,TopLayer,RES_0603,24.05,19.375,360
R29,820R,TopLayer,RES_0603,17.9,8.3,180
R28,51K,TopLayer,RES_0603,22.7,7.8,270
R27,220K,TopLayer,RES_0603,25.1,10.3,0
R26,10K,TopLayer,RES_0603,26.237,23.855,270
R25,10K,TopLayer,RES_0603,26.239,13.18,270
R22,220R,TopLayer,RES_0603,7.8,19.6,90
R21,18K,BottomLayer,RES_0603,27.888,22.839,270
R20,3K3,BottomLayer,RES_0603,8.1,14.3024,360
R19,3K3,BottomLayer,RES_0603,6,12.3024,360
R18,18K,BottomLayer,RES_0603,27.89,11.9735,270
R17,3K3,BottomLayer,RES_0603,12.7,10.5,90
R16,3K3,BottomLayer,RES_0603,6,10.5024,360
R15,18K,BottomLayer,RES_0603,27.8907,2.512,270
R14,3K3,BottomLayer,RES_0603,7.9,6.7581,360
R13,3K3,BottomLayer,RES_0603,6,8.7024,360
R12,100R,TopLayer,RES_0603,26.237,27.411,90
R11,100R,TopLayer,RES_0603,32.6,22.7,270
R10,100R,TopLayer,RES_0603,26.239,16.736,90
R9,100R,TopLayer,RES_0603,32.55,12.5745,270
R8,100R,TopLayer,RES_0603,26.25,6.875,90
R7,100R,TopLayer,RES_0603,32.589,3.02,270
R6,2K2,TopLayer,RES_0603,31.954,5.56,180
R5,4K7,TopLayer,RES_0603,28.017,7.338,270
R4,2K2,TopLayer,RES_0603,32.6485,14.975,180
R3,4K7,TopLayer,RES_0603,27.9411,16.736,270
R2,2K2,TopLayer,RES_0603,31.9,25.428,180
R1,4K7,TopLayer,RES_0603,27.9391,27.411,270
Q12,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,21.8099,25.633,270
Q11,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,34.0527,24.847,90
Q10,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,21.8119,14.9072,270
Q9,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,34.0443,14.958,90
Q8,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,21.8119,5.5092,270
Q7,M3016D,BottomLayer,TO-252_181_255_118X62_SMD,33.9681,5.4838,90
Q6,MMBT3904L,TopLayer,SOT_23-3,29.0934,3.0198,180
Q5,MMBT3904L,TopLayer,SOT_23-3,29.15,13.3748,180
Q4,MMBT3904L,TopLayer,SOT_23-3,29.1,22.7998,180
Q2,BA7805FP-E2,TopLayer,DPAK_118_446_112X59_SMD,9.352,4.473,360
Q1,L78L05ABUTR,TopLayer,SOT89N,6.55,26.3288,180
D3,1N4148W,TopLayer,SOD-123,34.7,4.036,270
D2,1N4148W,TopLayer,SOD-123,35.3502,13.375,270
D1,1N4148W,TopLayer,SOD-123,34.7,23.6,270
C18,20pF,TopLayer,CAP_0603,12.8,24.9985,270
C17,20pF,TopLayer,CAP_0603,19.0698,24.9986,90
C15,330nF,BottomLayer,CAP_0603,4.801,6.7,180
C14,100nF,TopLayer,CAP_0603,20.9,7.8,270
C13,100nF,TopLayer,CAP_0603,9.8788,25.633,270
C12,10uF,TopLayer,CAP_1206,7.8999,22.395,360
C11,100nF,TopLayer,CAP_0603,10.5767,28.1331,180
C7,100nF,BottomLayer,CAP_0603,6.3,4.2,180
C9,470pF,TopLayer,CAP_0603,7.8,16.501,90
C8,1nF,BottomLayer,CAP_0603,10.9,12.3024,90
C6,1nF,BottomLayer,CAP_1206,8.8424,10.5303,90
C5,1uF,BottomLayer,CAP_0805,5.8999,2.2001,180
C4,5uF,TopLayer,CAP_1206,33.3517,7.7448,180
C3,5uF,TopLayer,CAP_1206,33.4998,17.105,180
C2,5uF,TopLayer,CAP_1206,32.9998,27.4856,180
C1,1nF,BottomLayer,CAP_0603,10.9,9.0024,90
